orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.4479	C5_01910W_A	GIS2	Translational activator for mRNAs with internal ribosome entry sites; induced in high iron; repressed by yeast-hypha switch; null exhibits sensitivity to sorbitol, 5-fluorocytosine, and cold temperatures; Spider biofilm repressed	cellular response to cold||cellular response to drug||cellular response to osmotic stress||positive regulation of cytoplasmic translation	P-body||cytoplasmic stress granule	mRNA binding||nucleic acid binding||single-stranded DNA binding||translation regulator activity||zinc ion binding
orf6.448	CR_04430W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_01778	biological_process	cellular_component	molecular_function
orf6.4480	C5_01890W_A		Protein with a role in insertion of tail-anchored proteins into the ER membrane; required for efficient mating, in shmoo formation and nuclear migration in the pre-zygote of S. cerevisiae; Hap43-repressed	cell morphogenesis involved in conjugation with cellular fusion||posttranslational protein targeting to endoplasmic reticulum membrane||protein insertion into ER membrane	TRC complex||cytoplasmic stress granule||nucleus	ribosomal large subunit binding||ribosomal small subunit binding
orf6.4481	C5_01880C_A		Has domain(s) with predicted role in vesicle-mediated transport	vesicle-mediated transport	cellular_component	molecular_function
orf6.4482	C5_01870W_A		Ortholog(s) have acetyltransferase activator activity, peptide alpha-N-acetyltransferase activity, ribosome binding activity	N-terminal protein amino acid acetylation||positive regulation of N-terminal peptidyl-serine acetylation	NatA complex	acetyltransferase activator activity||peptide alpha-N-acetyltransferase activity||ribosome binding
orf6.4483	C5_01860W_A		Ortholog of <i>Candida albicans WO-1</i> : CAWG_04571	biological_process	cellular_component	molecular_function
orf6.4484	C5_01850C_A	ZNC1	Zn(2)-Cys(6) transcription factor; regulated by Gcn2 and Gcn4; gene located in zinc cluster region of Chromosome 5, near the MTL locus; required for yeast cell adherence to silicone substrate; Spider biofilm induced	positive regulation of cell adhesion involved in single-species biofilm formation||positive regulation of cell-substrate adhesion||regulation of transcription by RNA polymerase II||regulation of transcription, DNA-templated||single-species biofilm formation on inanimate substrate	nucleus	DNA-binding transcription factor activity||DNA-binding transcription factor activity, RNA polymerase II-specific||zinc ion binding
orf6.4485	C5_01840C_A	TAC1	Zn(2)-Cys(6) transcriptional activator of drug-responsive genes (CDR1 and CDR2); binds DRE element; gene in zinc cluster region near MTL locus; resequencing indicates that TAC1 spans orf19.3188 and orf19.3189; Spider biofilm induced	cellular response to biotic stimulus||cellular response to drug||cellular response to oxidative stress||cellular response to steroid hormone stimulus||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||positive regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus||positive regulation of transcription by RNA polymerase II||regulation of transcription by RNA polymerase II||response to salt stress||transcription, DNA-templated	nucleus||transcription factor complex	DNA binding||DNA-binding transcription factor activity, RNA polymerase II-specific||transcription coactivator activity||zinc ion binding
orf6.4486	orf19.3189		Predicted ORF from Assembly 19; merged with orf19.3188 in Assembly 20			
orf6.4487	C5_01830C_A	HAL9	Putative Zn(II)2Cys6 transcription factor; gene in zinc cluster region of Chr. 5; induced by Mnl1 in weak acid; similar to S. cerevisiae Hal9, a putative transcription factor involved in salt tolerance	filamentous growth of a population of unicellular organisms in response to biotic stimulus||growth of unicellular organism as a thread of attached cells||negative regulation of growth of unicellular organism as a thread of attached cells||regulation of transcription, DNA-templated	nucleus	DNA-binding transcription factor activity, RNA polymerase II-specific||zinc ion binding
orf6.4488	C5_01820W_A	STI1	Protein that interacts with Cdc37 and Crk1 in two-hybrid; may be involved in Cdc37 chaperone activity; soluble protein in hyphae; protein in exponential and stationary phase yeast cultures; YNB biofilm induced; Spider biofilm induced	protein folding||protein targeting to mitochondrion	cytoplasm	ATPase inhibitor activity||Hsp70 protein binding||Hsp90 protein binding||mRNA binding
orf6.4489	CR_02690W_A		Ortholog(s) have alpha-tubulin binding activity, role in cytoplasmic microtubule organization, establishment or maintenance of cell polarity, post-chaperonin tubulin folding pathway and cytoplasm localization	cytoplasmic microtubule organization||establishment or maintenance of cell polarity||post-chaperonin tubulin folding pathway	cytoplasm	alpha-tubulin binding
orf6.4490	CR_02700W_A		Ortholog(s) have role in protein transport	protein transport	cellular_component	molecular_function
orf6.4491	CR_02710W_A	RRP9	Ribosomal protein; mutation confers resistance to 5-fluorocytosine (5-FC), 5-fluorouracil (5-FU), and tubercidin (7-deazaadenosine); physically interacts with TAP-tagged Nop1; Hap43-induced; Spider biofilm induced	cellular response to drug	box C/D snoRNP complex||small-subunit processome	molecular_function
orf6.4492	CR_02720C_A	RPC31	Putative RNA polymerase III subunit C31; repressed by nitric oxide; induced during infection of murine kidney, compared to growth in vitro; has murine homolog	tRNA transcription by RNA polymerase III||transcription initiation from RNA polymerase III promoter	RNA polymerase III complex	RNA polymerase III activity
orf6.4493	CR_02740W_A	INN1	Protein with similarity to S. cerevisiae Inn1p, which is an essential protein of the contractile actomyosin ring required for ingression of the plasma membrane into the bud neck during cytokinesis; contains a C2 membrane targeting domain	chromosome organization||secondary cell septum biogenesis	HICS complex||cellular bud neck contractile ring	enzyme regulator activity
orf6.4494	CR_02750C_A	PGA34	Putative GPI-anchored protein; transcript repressed by alpha pheromone in SpiderM medium; induced in oralpharyngeal candidasis; flow model biofilm induced; Spider biofilm induced	biological_process	cell surface	molecular_function
orf6.4495	CR_02760C_A	RPD3	Histone deacetylase; regulates frequency of white-to-opaque and opaque-to-white switching; greater expression in white cells than opaque cells; has conserved deacetylation motif	histone deacetylation||phenotypic switching||regulation of transcription by RNA polymerase II	cellular_component	histone deacetylase activity
orf6.4496	CR_02770C_A		Ortholog(s) have SUMO activating enzyme activity, role in protein sumoylation and SUMO activating enzyme complex, cytosol localization	protein sumoylation	SUMO activating enzyme complex||cytosol	SUMO activating enzyme activity
orf6.4497	CR_02780W_A		Protein with similarity to carbonic anhydrases	biological_process	cellular_component	carbonate dehydratase activity||zinc ion binding
orf6.4498	CR_02790C_A	ALG5	Putative glucosyltransferase involved in cell wall mannan biosynthesis; possibly an essential gene, disruptants not obtained by UAU1 method	dolichol-linked oligosaccharide biosynthetic process	endoplasmic reticulum membrane	dolichyl-phosphate beta-glucosyltransferase activity
orf6.4499	CR_02800C_A		Protein of unknown function; mutation confers hypersensitivity to amphotericin B; flow model biofilm induced	cellular response to drug||mannan catabolic process	cellular_component	beta-mannosidase activity
orf6.45	C2_04050C_A	DCK1	Putative guanine nucleotide exchange factor; required for embedded filamentous growth; activates Rac1; has a DOCKER domain; similar to adjacent DCK2 and to S. cerevisiae Ylr422wp; regulated by Nrg1; Spider biofilm induced	autophagy of mitochondrion||cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation||fungal-type cell wall organization||intracellular signal transduction	membrane||mitochondrion||plasma membrane	molecular_function
orf6.450	CR_04440C_A	RBR1	Glycosylphosphatidylinositol (GPI)-anchored cell wall protein; required for filamentous growth at acidic pH; expression repressed by Rim101 and activated by Nrg1; Hap43-induced	cellular response to neutral pH||filamentous growth||filamentous growth of a population of unicellular organisms in response to neutral pH	cell surface	molecular_function
orf6.4500	CR_02810W_A	CIRT4B	Cirt family transposase; transcript repressed in an azole-resistant strain that overexpresses CDR1 and CDR2; Hap43-repressed; flow model biofilm induced	biological_process	cellular_component	DNA binding||nucleic acid binding
orf6.4501	orf19.5632		Predicted ORF from Assembly 19; merged with orf19.377 in Assembly 20			
orf6.4502	C4_00100C_A		F-box domain-containing protein; flow model biofilm induced	biological_process	cellular_component	molecular_function
orf6.4503	C4_00110C_A	FRP1	Ferric reductase; alkaline-induced by Rim101; iron-chelation-induced by CCAAT-binding factor; fluconazole-repressed; ciclopirox-, hypoxia-, Hap43-induced; colony morphology-related regulation by Ssn6; Spider and flow model biofilm induced	cellular response to iron ion starvation||iron ion transmembrane transport||oxidation-reduction process||reductive iron assimilation	cellular_component	ferric-chelate reductase activity
orf6.4504	C4_00120W_A	PGA7	GPI-linked hyphal surface antigen; induced by ciclopirox olamine, ketoconazole, Rim101 at pH 8; Hap43, fluconazole; flow model biofilm induced; Spider biofilm induced; required for RPMI biofilm; Bcr1-induced in a/a biofilm	pathogenesis||single-species biofilm formation on inanimate substrate	cell surface	heme binding
orf6.4505	C4_00130W_A	RBT5	GPI-linked cell wall protein; hemoglobin utilization; Rfg1, Rim101, Tbf1, Fe regulated; Sfu1, Hog1, Tup1, serum, alkaline pH, antifungal drugs, geldamycin repressed; Hap43 induced; required for RPMI biofilms; Spider biofilm induced	cell adhesion involved in single-species biofilm formation||cellular iron ion homeostasis||endocytic hemoglobin import||single-species biofilm formation on inanimate substrate	cell surface||extracellular region||fungal-type cell wall||plasma membrane||yeast-form cell wall	heme binding
orf6.4508	C4_00140C_A	HIS4	Multifunctional enzyme that catalyzes three steps of histidine biosynthesis, with phosphoribosyl-AMP cyclohydrolase, phosphoribosyl-ATP diphosphatase, and histidinol dehydrogenase activities; required for wild-type adhesion to human calls	adhesion of symbiont to host||cell adhesion||histidine biosynthetic process||oxidation-reduction process	cellular_component	NAD binding||histidinol dehydrogenase activity||phosphoribosyl-AMP cyclohydrolase activity||phosphoribosyl-ATP diphosphatase activity||zinc ion binding
orf6.4509	C4_00150C_A	PEX5	Pex5p family protein; required for PTS1-mediated peroxisomal protein import, fatty acid beta-oxidation; similar to S. cerevisiae Pas10p peroxisomal targeting receptor; macrophage/pseudohyphal-repressed; Hap43p-repressed	fatty acid beta-oxidation||fatty acid metabolic process||penicillin biosynthetic process||protein import into peroxisome matrix||protein import into peroxisome matrix, docking||protein targeting to peroxisome	cytosol||peroxisomal importomer complex||peroxisomal membrane	peroxisome matrix targeting signal-1 binding||protein binding, bridging
orf6.451	C6_02610C_A	CDC37	Chaperone for Crk1p; interacts with Crk1p kinase domain and with Sti1p; putative phosphorylation site at Ser14; functional homolog of S. cerevisiae Cdc37p; likely to be essential for growth; regulated by Gcn2p and Gcn4p	cellular response to drug||osmosensory signaling MAPK cascade||positive regulation of MAPK cascade||protein folding||protein stabilization||regulation of cell cycle||spindle pole body duplication	cytoplasm||nucleus	heat shock protein binding||protein kinase binding||unfolded protein binding
orf6.4510	C4_00160C_A	CAR2	Ornithine aminotransferase; arginine metabolism; alkaline induced; mutant sensitivite to toxic ergosterol analog, to amphotericin B; exponential and stationary phase yeast; flow model biofilm induced; rat catheter, Spider biofilm repressed	arginine catabolic process to proline via ornithine||cellular response to drug||ornithine metabolic process	cytosol	ornithine-oxo-acid transaminase activity||pyridoxal phosphate binding
